sample,snr,signal
0.5733670416719333,-11,"[-0.35075474 -0.85591889  0.88594906  0.98560826  0.75150706  0.98798604
  0.50181728 -0.14729267  0.99636604 -0.63974643  0.5885479  -0.90103163
  0.31375022 -0.29646338  0.2307013   0.06678556 -0.9999001  -0.01966344
  0.67366199 -0.96273103 -0.72120648  0.49110071 -0.3276579  -0.90761528
 -0.81848792 -0.62088808  0.9849026  -0.54544485 -0.02339093 -0.50996229
  0.95463038 -0.82561929  0.00113689 -0.75418593 -0.97121015  0.42274321
 -0.70903476 -0.99071306  0.64227016 -0.72639281  0.56199114  0.71857306
 -0.97188838 -0.22303952 -0.15014433  0.80963051 -0.84987637 -0.9621023
 -0.41765856  0.82337964 -0.98787465 -0.93974527 -0.35482894 -0.88605479
  0.86432983  0.99849061 -0.69883903  0.84184924 -0.53586311 -0.83800825
 -0.82969715  0.01187103  0.06140987 -0.20752063  0.96071969 -0.75184243
  0.78085794  0.99949195  0.08876698 -0.56119242 -0.90924453  0.26930741
 -0.97514907  0.1670471  -0.3855479  -0.94778296 -0.65263207  0.37317819
 -0.75978112 -0.60499347 -0.91648031 -0.7876824  -0.99940809 -0.40313843
 -0.79575508  0.99534096 -0.99770866  0.59992124  0.24864821 -0.29906198
  0.5471125   0.03723816 -0.08806588 -0.6717204   0.18102217  0.25175534
 -0.96409663 -0.22551527  0.58415774 -0.92778168  0.94970026  0.38947504
 -0.99855186 -0.76011542 -0.81797562 -0.0305554   0.85034886  0.38019368
  0.30718875  0.44389443  0.04338658  0.74570916 -0.95192592 -0.98994259
  0.47581476  0.76941926  0.20519758 -0.59021057  0.48054199  0.47275241
 -0.74969612  0.06634305  0.95878129 -0.50266963  0.14885793  0.77803711
  0.91063179 -0.9590102  -0.65419931 -0.53444562  0.45781152 -0.35488087
  0.6682536   0.74873002 -0.13126678 -0.98926419  0.8919095   0.97423868
  0.63475016  0.99593762 -0.61526484  0.88406364 -0.98932679 -0.68179087
  0.99252969 -0.9759666   0.52626592 -0.56649305 -0.86697792 -0.78156381
  0.76672673  0.84511019 -0.62142836  0.91148962  0.38660914 -0.98883386
 -0.94377185 -0.21244244  0.52595804  0.61722373  0.02914169 -0.44210425
  0.72549073 -0.06213935 -0.31719136 -0.82722374 -0.98497215  0.58579283
  0.47596008 -0.77506567  0.71947617  0.00616851  0.96060288 -0.92181004
  0.9968326  -0.47011189  0.55501612 -0.57791551 -0.03454194  0.0995292 ]"
0.12850035323391018,15,"[-0.80714556  0.89804222  0.49238476 -0.36574062 -0.76687644 -0.34701678
  0.13948019  0.80803571  0.77284337  0.19455542 -0.54172216 -0.86250559
 -0.14903445  0.95427811  0.51357466  0.19323701  0.16136591  0.77303619
  0.84573204 -0.93107016 -0.78377949  0.15612996  0.9515943  -0.85167056
 -0.12028535 -0.99629296  0.18998366 -0.59822794 -0.98477885 -0.64288512
  0.98740795  0.86184645  0.0015503  -0.25986974  0.999101   -0.8994063
 -0.87945722  0.32289658  0.81404146 -0.89512723 -0.50398526  0.99561379
 -0.94793768  0.55829063 -0.975265   -0.99999899  0.32260607 -0.72084251
 -0.26601078 -0.44601081 -0.59797185  0.57988588  0.07649057 -0.79163483
  0.00461079 -0.70960019  0.97365457 -0.34196246  0.36275305  0.35101596
 -0.19083174 -0.29722738  0.97443744 -0.75539246  0.92737143  0.52553454
  0.93974033  0.37549388 -0.85273123 -0.98254631 -0.42833679 -0.94202864
  0.99981871 -0.88461252 -0.77597998 -0.52862583  0.95061681 -0.72228318
  0.31455519 -0.30965913 -0.99995079 -0.18996509  0.94522282  0.27657959
 -0.95051548 -0.74842333  0.72175044 -0.02056782 -0.7171727   0.15640456
 -0.48277828 -0.88736865 -0.11995605  0.95814117 -0.99444875  0.34011267
  0.88219863 -0.89914314  0.75173797 -0.99876121 -0.54563254  0.51887848
  0.21451532 -0.92364596  0.99977936  0.50512408  0.04164657  0.89257523
 -0.96022797  0.98030585 -0.48993621 -0.53622769  0.53739524 -0.58263048
  0.68294215  0.22877332  0.27810113 -0.90792431  0.67756231 -0.99909583
 -0.01342424 -0.86834872  0.92380889 -0.95829914  0.08176264  0.93762337
 -0.13271578 -0.73127037  0.67514032  0.86964759 -0.80403584  0.9760523
 -0.95994487 -0.29268626  0.44852788 -0.9318916   0.9976423  -0.82770315
  0.8062305   0.30071534 -0.99540646  0.33013651  0.49217604  0.96582564
  0.91933276  0.99990245  0.62275979  0.7785514   0.00260208 -0.20316064
  0.23435118  0.05509886  0.5881802  -0.14909548 -0.98512436  0.48820044
 -0.51425495  0.27566349  0.18300212 -0.58225866  0.03973383  0.78954514
 -0.92379129 -0.97421304  0.95612025 -0.94643484  0.99880491  0.27851156
  0.68277755 -0.71028053  0.99544644  0.00841157 -0.32399895  0.17033805
  0.77772292 -0.61893619 -0.49404861 -0.74479979  0.8890589   0.13552836]"
0.811204176736003,-7,"[ 9.96367706e-01  8.07175594e-01 -4.34688505e-01 -3.46992739e-02
 -7.35718563e-01 -4.40440310e-02 -9.28863707e-01 -9.44632004e-01
  8.69340063e-01 -9.99910964e-01 -6.33476899e-01 -1.42405971e-01
 -4.69468304e-01 -6.17264139e-01 -8.44131093e-01 -3.22274207e-01
  1.33405812e-01 -7.47495748e-01  4.53216062e-01 -9.84851319e-01
  5.88966525e-01 -9.25924936e-01 -9.37565529e-01 -1.52115507e-01
  8.92774603e-01  1.44407837e-01  5.13378689e-01  9.74943124e-01
  9.91830259e-01  9.80512168e-01  7.22335679e-01  7.85620659e-01
  7.23474247e-04  9.20703108e-01  9.05318025e-01  9.12863139e-01
 -4.80773203e-01  5.59756441e-02  4.29406857e-01 -4.94623035e-01
 -6.17354561e-01 -6.09573714e-02 -9.88584000e-01 -1.41979761e-01
  8.65670537e-01 -3.09649091e-01 -7.04422998e-01 -2.49964777e-01
  9.04832426e-01 -9.95160884e-01 -3.23286072e-01 -7.91522872e-02
 -7.18767216e-01 -9.53320706e-01 -8.67099252e-01 -6.28038425e-01
  2.05330839e-01  7.11188433e-01 -9.97653665e-01 -7.14347525e-01
 -9.81178405e-01  2.74476125e-01 -9.94628380e-01  4.24286120e-01
  9.84030540e-01 -7.74892748e-01  5.39805464e-01  4.33780819e-01
  9.31661676e-01  1.90858659e-01  4.04114126e-01  6.31338761e-01
  9.09895125e-01  6.81634802e-01  9.94057321e-01 -9.34250713e-01
  1.66115408e-01  4.22207469e-02  9.86446014e-01 -8.33095583e-01
 -6.72563899e-01  9.07120046e-01  9.65431356e-01  5.22392591e-01
 -5.52712651e-01 -6.07211386e-01  6.21699920e-01 -9.53978907e-01
  9.64172362e-01 -6.92153373e-01 -6.08363579e-01  9.19221936e-01
 -5.60851742e-02 -3.78428482e-01  9.66740197e-01  1.61243455e-01
  5.16671690e-01  9.99998089e-01  3.86644495e-01 -6.86212394e-01
  5.98584288e-02  2.51843443e-01  1.08335204e-01 -5.22255863e-01
  3.18325527e-01 -5.56897724e-01 -8.75581487e-01 -3.17425385e-01
  9.42254620e-01 -7.51087776e-01  5.63665684e-01  7.78601386e-01
 -5.52934602e-02 -3.31666787e-01 -9.85112903e-01 -9.14759546e-01
  1.31135671e-01  6.74766629e-01 -9.84518300e-01  5.17087841e-01
 -9.93847530e-01  9.26366053e-01  9.83239208e-01  7.22377730e-01
 -3.71552322e-01  5.37391182e-01 -8.33316457e-01 -2.43106026e-01
 -8.27247531e-01  7.31499897e-02 -1.70111452e-02 -5.85854271e-01
  3.81177555e-01 -9.84631858e-01 -2.00456794e-01 -7.87206772e-01
  6.44971930e-01 -9.90098180e-01  4.23782981e-01  4.66897064e-01
  1.48910664e-01  9.65944065e-01  7.22254565e-01  1.90631795e-01
  7.96669810e-01  9.10874741e-01 -9.78056947e-01 -8.64799298e-01
  8.65417613e-01  9.09745424e-01 -9.15837263e-01 -8.78600340e-01
  6.53593077e-01  6.42806846e-01  5.68097457e-01  7.23725094e-01
 -9.37024728e-01 -6.49880681e-01  7.97803360e-01 -6.51010011e-01
  1.85462724e-02  5.81909432e-03  3.33705449e-01  9.94676416e-01
 -9.39989604e-01 -4.86947327e-02  9.22587515e-01  8.24587068e-01
 -9.85094823e-01  5.46398452e-01 -6.01319553e-02  3.92543325e-03
 -7.79093979e-01  8.23366018e-01  8.67552630e-01 -3.06436850e-01
 -6.13136174e-01 -3.82138713e-01 -9.18544576e-01  6.33992544e-02]"
0.8206394757439553,10,"[-0.10242188 -0.2181649   0.76227268  0.27056495 -0.05900692  0.28340217
 -0.99565155  0.91309273 -0.06522795  0.60847295  0.14146623 -0.76903461
  0.41129191 -0.66386322 -0.9360504   0.60776171  0.40369234 -0.83145458
 -0.78260488  0.96916573  0.90187243 -0.99454336 -0.66826564 -0.77792275
  0.42884504 -0.44947514 -0.99189174  0.0959258  -0.39597792  0.05806011
 -0.40565085 -0.16819735 -0.99999947  0.34133851 -0.47532041 -0.73467674
 -0.75412182  0.29972701 -0.80563409 -0.73904525  0.17062208 -0.55308484
  0.97674825  0.79468073  0.98898134  0.99999955 -0.97611787 -0.85941187
 -0.98393281 -0.95288046 -0.91008292  0.1109773   0.45516294  0.90551229
  0.49733559  0.86720049  0.98826218 -0.97305431  0.69690953 -0.97155058
  0.38535501  0.66297857 -0.3639793  -0.04721889  0.96749974 -0.93272617
 -0.68617398 -0.96725346  0.93362206 -0.38836819  0.73025811 -0.6828907
 -0.48896628 -0.74931123 -0.06852566  0.15169034  0.97795037  0.8731678
 -0.97733231  0.66946508 -0.49426144  0.38589802 -0.67817661  0.33044664
 -0.66999524  0.88541518  0.87291748 -0.99990598  0.87076531  0.40675509
  0.18661533  0.94940514 -0.99678861 -0.32406775 -0.55957831 -0.97335595
  0.94705622 -0.21979699 -0.84344676 -0.47098923  0.13839069 -0.93458974
  0.37042674 -0.70739423  0.99990193  0.16975556  0.47575866 -0.21017208
 -0.65353942  0.99123101  0.18124709 -0.9296599   0.14485706 -0.915261
  0.02240835  0.36135484 -0.98240282  0.95872075  0.02730001 -0.52434925
  0.49222936  0.94075187  0.96589397  0.98139401  0.54649072 -0.68914595
  0.57478204 -0.85419879 -0.88039433  0.94134384  0.91124637 -0.62082264
 -0.32808108 -0.98045738  0.740408   -0.27263432 -0.53911583 -0.79608289
 -0.81086462 -0.97933927 -0.44365666  0.29485138  0.7621692   0.98476294
 -0.25126679 -0.49191384  0.07535059 -0.82820295  0.50150156  0.37760543
  0.35778803  0.46784208  0.10420473 -0.9950272  -0.59617807  0.76019714
  0.16277874  0.33104631  0.60223007  0.10904543 -0.999649    0.90454459
 -0.25867059 -0.36336036 -0.66075414 -0.6763455  -0.52795858  0.65316857
  0.02255851  0.867521   -0.55406866 -0.99998428  0.67691826  0.59536023
 -0.07036651 -0.90264293  0.17814925 -0.84717197  0.95017256 -0.99589581]"
0.6259396701015728,-6,"[-0.93024354  0.13157756  0.6717338   0.88766488  0.03541732  0.88394509
  0.84063379  0.0621248  -0.61901123 -0.23365747 -0.08506252  0.10174448
 -0.25158983  0.99263711  0.91608926 -0.38198514  0.8453968   0.96245964
 -0.91982026  0.98886288  0.54985149  0.84426184 -0.72944626  0.09337041
 -0.99883711  0.34159355 -0.23546896 -0.96728    -0.84808336 -0.96124766
 -0.7700586   0.10122673 -0.99999981 -0.99447631  0.29284115 -0.69002459
 -0.90901233  0.87911072 -0.92850477 -0.90326108 -0.10269521  0.27316445
  0.99160849 -0.5236152   0.22311362 -0.80935175 -0.43095593  0.0078475
  0.86751214  0.68714823 -0.05773981  0.92833672  0.79063883  0.96563349
 -0.9999983  -0.95061893 -0.75158198 -0.43834908 -0.16491425 -0.4418157
 -0.38107894 -0.42129637 -0.85889851  0.56462321  0.98825902 -0.51026817
 -0.88292139 -0.15950324  0.09417773  0.37926559  0.69283794  0.99064816
  0.30176421  0.98123062 -0.93753977 -0.51151899 -0.72857974 -0.59478523
  0.72737063  0.87643677 -0.80667816 -0.99707907  0.43241299 -0.20069378
 -0.87664295 -0.94332931 -0.94843615  0.80415354  0.00573543  0.77052096
 -0.11239152  0.12217722 -0.9988435   0.99326291 -0.78352014 -0.9903807
 -0.90804456 -0.90169473 -0.94266211 -0.79715331  0.92204674 -0.97628535
  0.85676106 -0.89111725 -0.81392745  0.66736689 -0.99986117  0.48053788
 -0.73744951  0.38358588  0.67256631 -0.51460241  0.92052257 -0.0653281
 -0.9551255  -0.99574089 -0.99365307  0.4681145  -0.955991    0.99985531
 -0.31411955  0.10638425  0.98767679  0.41694527 -0.33998493 -0.8840719
 -0.99858291  0.01391332 -0.57337654 -0.6712949  -0.63482353  0.99615544
  0.99355487  0.73364046 -0.47960657 -0.71316054 -0.82485785  0.52479724
 -0.93047063 -0.19080507  0.345258   -0.43382931 -0.97889064 -0.74304128
 -0.70378528  0.30369835 -0.96406212 -0.62184858 -0.99999946 -0.99665347
 -0.99552682 -0.99975689 -0.06259559 -0.36536106  0.99761492 -0.97926191
 -0.50571861  0.73844801  0.850057   -0.06551067 -0.99987363 -0.62738167
  0.98767391 -0.85910262 -0.73355851  0.18163084  0.32755724  0.87008532
 -0.95515219  0.58632856  0.27248254 -0.99999434 -0.9913031  -0.99765691
 -0.62143529 -0.96457862 -0.10725646 -0.9440501   0.12363768 -0.99852184]"
0.8204268437712681,-13,"[-0.95811167 -0.47897298 -0.95913862 -0.49101404  0.65080528 -0.50606946
 -0.98145606 -0.3861829  -0.92627841  0.24661136  0.82484233 -0.99916081
  0.97266178 -0.70801607 -0.98827657  0.99796467  0.64214523 -0.89973294
 -0.76660948 -0.94807574  0.99886767 -0.98414826  0.44598927 -0.99824809
 -0.91345619 -0.88066775  0.71314752 -0.99948214 -0.77356297 -0.99667591
 -0.99742642 -0.5360046  -0.00134359 -0.95658    -0.1410001  -0.33440103
  0.80247078  0.52507912 -0.73404998  0.81970033  0.84592509  0.94352706
 -0.96080999  0.91766696  0.68113777 -0.30784274 -0.3369114  -0.97018671
  0.99673687 -0.75520984 -0.92605606  0.29709412 -0.14259515 -0.8420768
  0.8680165   0.35550815  0.49126155  0.32011228  0.09700183 -0.31217675
  0.55243876 -0.98772746  0.80127246 -0.5078148   0.94528088 -0.14820635
 -0.87184364  0.82029361  0.44945395 -0.83589265  0.93957585  0.73124575
 -0.12092588  0.80993902 -0.96983755  0.78431788  0.55441605 -0.82828011
  0.83011512 -0.46381458  0.97989902 -0.93661501  0.1824366  -0.94019692
  0.88550145  0.30912565 -0.34137555 -0.94539694  0.27080214 -0.07326437
  0.85700475  0.50309801  0.10402434 -0.26861446 -0.59853949 -0.2962511
 -0.11052822 -0.90253838 -0.67226772  0.98620457 -0.3311922  -0.45538091
  0.60549568  0.85236386  0.29165161  0.24690279  0.88350917  0.6790848
 -0.46867478 -0.89780698 -0.23217013  0.13738264  0.3391928  -0.91971419
  0.99182603  0.94811049 -0.24182005  0.96804243  0.99261762  0.53157272
  0.4173377   0.47303785  0.94258808  0.92971697  0.99942952 -0.86922494
  0.80271672 -0.97328824  0.01401526  0.69009946 -0.76174628 -0.65459705
  0.27392648 -0.84104215  0.95581335  0.99370435 -0.96404667 -0.40010839
 -0.72615912  0.77897872 -0.87663147 -0.6521882  -0.56565019  0.5153254
 -0.99006845 -0.11656004  0.99825818  0.14454702 -0.86489563 -0.94063773
  0.9496787   0.88891638 -0.796274    0.47821302  0.62354751 -0.56890561
  0.77517953  0.03259727  0.36062716  0.80008667 -0.03443824  0.77504794
  0.18203908 -0.80178895  0.45764678 -0.99104469 -0.06230425  0.43860964
  0.99185092  0.99882599  0.94403473 -0.00729004  0.68981821 -0.78261021
 -0.92878077  0.54668704  0.85118298  0.66552982 -0.50585104 -0.11754809]"
0.651484771857788,-7,"[ 9.96367706e-01  8.07175594e-01 -4.34688505e-01 -3.46992739e-02
 -7.35718563e-01 -4.40440310e-02 -9.28863707e-01 -9.44632004e-01
  8.69340063e-01 -9.99910964e-01 -6.33476899e-01 -1.42405971e-01
 -4.69468304e-01 -6.17264139e-01 -8.44131093e-01 -3.22274207e-01
  1.33405812e-01 -7.47495748e-01  4.53216062e-01 -9.84851319e-01
  5.88966525e-01 -9.25924936e-01 -9.37565529e-01 -1.52115507e-01
  8.92774603e-01  1.44407837e-01  5.13378689e-01  9.74943124e-01
  9.91830259e-01  9.80512168e-01  7.22335679e-01  7.85620659e-01
  7.23474247e-04  9.20703108e-01  9.05318025e-01  9.12863139e-01
 -4.80773203e-01  5.59756441e-02  4.29406857e-01 -4.94623035e-01
 -6.17354561e-01 -6.09573714e-02 -9.88584000e-01 -1.41979761e-01
  8.65670537e-01 -3.09649091e-01 -7.04422998e-01 -2.49964777e-01
  9.04832426e-01 -9.95160884e-01 -3.23286072e-01 -7.91522872e-02
 -7.18767216e-01 -9.53320706e-01 -8.67099252e-01 -6.28038425e-01
  2.05330839e-01  7.11188433e-01 -9.97653665e-01 -7.14347525e-01
 -9.81178405e-01  2.74476125e-01 -9.94628380e-01  4.24286120e-01
  9.84030540e-01 -7.74892748e-01  5.39805464e-01  4.33780819e-01
  9.31661676e-01  1.90858659e-01  4.04114126e-01  6.31338761e-01
  9.09895125e-01  6.81634802e-01  9.94057321e-01 -9.34250713e-01
  1.66115408e-01  4.22207469e-02  9.86446014e-01 -8.33095583e-01
 -6.72563899e-01  9.07120046e-01  9.65431356e-01  5.22392591e-01
 -5.52712651e-01 -6.07211386e-01  6.21699920e-01 -9.53978907e-01
  9.64172362e-01 -6.92153373e-01 -6.08363579e-01  9.19221936e-01
 -5.60851742e-02 -3.78428482e-01  9.66740197e-01  1.61243455e-01
  5.16671690e-01  9.99998089e-01  3.86644495e-01 -6.86212394e-01
  5.98584288e-02  2.51843443e-01  1.08335204e-01 -5.22255863e-01
  3.18325527e-01 -5.56897724e-01 -8.75581487e-01 -3.17425385e-01
  9.42254620e-01 -7.51087776e-01  5.63665684e-01  7.78601386e-01
 -5.52934602e-02 -3.31666787e-01 -9.85112903e-01 -9.14759546e-01
  1.31135671e-01  6.74766629e-01 -9.84518300e-01  5.17087841e-01
 -9.93847530e-01  9.26366053e-01  9.83239208e-01  7.22377730e-01
 -3.71552322e-01  5.37391182e-01 -8.33316457e-01 -2.43106026e-01
 -8.27247531e-01  7.31499897e-02 -1.70111452e-02 -5.85854271e-01
  3.81177555e-01 -9.84631858e-01 -2.00456794e-01 -7.87206772e-01
  6.44971930e-01 -9.90098180e-01  4.23782981e-01  4.66897064e-01
  1.48910664e-01  9.65944065e-01  7.22254565e-01  1.90631795e-01
  7.96669810e-01  9.10874741e-01 -9.78056947e-01 -8.64799298e-01
  8.65417613e-01  9.09745424e-01 -9.15837263e-01 -8.78600340e-01
  6.53593077e-01  6.42806846e-01  5.68097457e-01  7.23725094e-01
 -9.37024728e-01 -6.49880681e-01  7.97803360e-01 -6.51010011e-01
  1.85462724e-02  5.81909432e-03  3.33705449e-01  9.94676416e-01
 -9.39989604e-01 -4.86947327e-02  9.22587515e-01  8.24587068e-01
 -9.85094823e-01  5.46398452e-01 -6.01319553e-02  3.92543325e-03
 -7.79093979e-01  8.23366018e-01  8.67552630e-01 -3.06436850e-01
 -6.13136174e-01 -3.82138713e-01 -9.18544576e-01  6.33992544e-02]"
0.20668435987674538,2,"[ 0.60426166 -0.04397255 -0.71852691 -0.63121172 -0.01180797 -0.6332819
 -0.32670717 -0.85547942 -0.95500953 -0.90261659  0.02838466  0.88250921
  0.08467269 -0.46454788 -0.37655247  0.13027644 -0.65291631 -0.41866465
 -0.99098306  0.99876049 -0.75334603 -0.32882783  0.69949709  0.88118668
  0.51385785  0.91815616  0.82373298  0.57213268  0.6516404   0.57834618
 -0.97352461 -0.0337937  -0.99999998  0.53004227 -0.09890368  0.71271175
 -0.98975067 -0.63591985 -0.99197035 -0.9890932   0.03428547  0.90839305
  0.99906645  0.18266491 -0.8261246   0.30919761  0.78250587  0.86733037
 -0.34295377 -0.24984369  0.85623677 -0.60563196  0.97597416  0.99616188
  0.50053232  0.40630632  0.2797039   0.78079914 -0.89230301  0.77999449
 -0.92365792  0.14445096  0.64637646  0.94809475  0.99869317  0.76348917
 -0.98675852  0.83810591 -0.84988045  0.92340729 -0.71180061 -0.459983
 -0.10200314 -0.44297496  0.598826   -0.94120562  0.26873748  0.2107409
 -0.2681712   0.98601105 -0.97787173  0.52190467 -0.1485044   0.06730443
 -0.98603484  0.3993807   0.40418569 -0.3064075  -0.86506791  0.97357982
  0.03753435 -0.84489551 -0.99987148 -0.53314473  0.67950953 -0.99892966
  0.37048453  0.62305296 -0.99357419 -0.97674607 -0.61001997 -0.99735572
 -0.64743364 -0.98770106  0.31167964  0.96104357  0.50480258  0.93712075
  0.69668696 -0.79315505  0.96168621  0.76240154 -0.61105465  0.85492487
  0.58415331  0.52641152 -0.99929412 -0.77379608  0.58335873 -0.49508129
 -0.91427203 -0.84771829  0.99862825 -0.7857062   0.1153761  -0.98689097
  0.48455202  0.86833504  0.74707914  0.24286497  0.22725698 -0.47446856
 -0.53242621 -0.27111826  0.16596394 -0.96666367 -0.98001054 -0.18311978
 -0.99219347  0.83227752  0.9186707  -0.93086639  0.4394507   0.27558778
 -0.96552034 -0.10267605  0.5755153   0.73352724  0.49969951  0.52343448
  0.52706137  0.50635193  0.02087733  0.79712817 -0.47992752  0.43999691
 -0.9404446   0.96972924  0.98295447  0.0218508  -0.99998596  0.22414155
 -0.54466481  0.64627506  0.69805898  0.89484288 -0.11100973  0.98527745
  0.58412893 -0.74354604  0.90829424 -0.99999937  0.46142877  0.48010618
 -0.95531452 -0.99604345  0.0358134  -0.99373105 -0.844633   -0.99983572]"
0.27396112732113376,19,"[ 0.78618668 -0.93321979 -0.85388316 -0.83701257  0.78181812 -0.8506312
 -0.72122655  0.89664893  0.27741341  0.88466579  0.49315057 -0.06091222
 -0.01995531 -0.78834192 -0.966568   -0.44014115  0.95232924 -0.98441753
  0.9570698  -0.89018249  0.50949123 -0.73583271  0.28691512 -0.03429816
  0.93201329 -0.74606868 -0.84922689  0.95861503  0.32026151  0.9355926
  0.81381791 -0.89413665  0.00196371  0.98188919 -0.98789929 -0.45137327
 -0.97813845  0.86722973  0.93373095 -0.98618378  0.44360965  0.57643347
 -0.91691069 -0.81902899 -0.56172831  0.80795521  0.99481093  0.2347377
  0.82453025 -0.04272133  0.43022667  0.63075905  0.49328469 -0.67295441
 -0.86893079 -0.04786713 -0.94377749 -0.99183027  0.96565969  0.9901967
  0.56013284  0.55777585 -0.38179506 -0.99773417  0.88433417  0.92614271
  0.99973334 -0.69545979 -0.84700457 -0.8249093   0.89783346  0.81747576
 -0.98287733  0.90783914  0.82446522  0.13186374 -0.973988    0.9430768
  0.2211567   0.02008728 -0.90836237  0.96063841 -0.80765544 -0.14500924
 -0.99982456  0.02399682  0.02584591 -0.56650969 -0.96106603  0.57924991
  0.41572345 -0.7962877  -0.15172289 -0.15518108 -0.0288047   0.42555928
 -0.31594259  0.62763012  0.88079813 -0.88610009 -0.67060781  0.63731998
  0.92919503 -0.99685642 -0.79309203  0.88644722 -0.89119154  0.97007733
 -0.25100664  0.06231562 -0.8759653  -0.91999626  0.67976272  0.45183315
 -0.90952376 -0.97338523  0.3494348   0.23154277 -0.91334873  0.54590377
  0.73165967 -0.8257185   0.87870554  0.05290446 -0.30802963  0.9995235
 -0.76984194  0.21602269  0.81117549 -0.99967049  0.98416007 -0.71830656
  0.16314443 -0.24941325 -0.71637192 -0.63013469  0.945431    0.57014663
  0.92755647 -0.76416324 -0.75423871 -0.40006735  0.38516479 -0.95644789
  0.59692139 -0.98167292 -0.94670884  0.68502658  0.86437272  0.96523431
 -0.97502397 -0.89880022 -0.55390659 -0.99224768  0.67602315  0.39049009
  0.1529793   0.69802346 -0.18469608  0.54618158  0.05032151 -0.97832083
  0.02588505  0.38296155  0.26856822 -0.31131382 -0.96340393 -0.06133144
 -0.90964234  0.62488195  0.57459791  0.01065457 -0.58854388  0.73818694
  0.28680167 -0.74820841  0.43054643 -0.87444828  0.79346008  0.17134942]"
0.21458911970837413,0,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
