sample,snr,signal
0.21680910658649122,6,"[ 1. -1. -1.  1.  1.  1.  1. -1.  1.  1. -1.  1.  1. -1.  1.  1. -1.  1.
 -1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1. -1.  1.  1.  1. -1.  1.
 -1. -1. -1.  1.  1.  1. -1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1. -1.
  1. -1.  1.  1.  1. -1.]"
0.29449394683942987,-12,"[ 1.  1.  1. -1.  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1.
 -1. -1. -1. -1.  1. -1. -1.  1.  1. -1.  1.  1. -1.  1.  1.  1.  1.  1.
 -1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1. -1. -1.  1.  1. -1.
  1. -1.  1.  1. -1. -1.]"
0.9958313750293707,-6,"[-1.  1.  1. -1. -1. -1. -1.  1. -1. -1.  1. -1. -1.  1. -1. -1.  1. -1.
  1.  1. -1.  1. -1.  1.  1.  1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1.
  1.  1.  1. -1. -1. -1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1.
 -1.  1. -1. -1. -1.  1.]"
0.6969250558638148,-6,"[-1.  1.  1. -1. -1. -1. -1.  1. -1. -1.  1. -1. -1.  1. -1. -1.  1. -1.
  1.  1. -1.  1. -1.  1.  1.  1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1.
  1.  1.  1. -1. -1. -1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1.
 -1.  1. -1. -1. -1.  1.]"
0.3842018313792199,5,"[ 1.  1. -1.  1. -1. -1. -1. -1.  1. -1. -1. -1. -1.  1. -1.  1.  1. -1.
  1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1. -1. -1.  1.  1. -1. -1.  1.
 -1.  1. -1. -1. -1. -1.  1. -1.  1.  1. -1.  1.  1.  1. -1. -1. -1. -1.
 -1. -1. -1.  1.  1.  1.]"
0.7371007058430192,-8,"[ 1. -1.  1.  1. -1.  1. -1.  1. -1. -1.  1.  1. -1. -1. -1.  1. -1.  1.
 -1.  1. -1. -1. -1.  1. -1. -1.  1.  1. -1.  1. -1.  1. -1. -1. -1. -1.
 -1.  1.  1. -1.  1. -1.  1.  1.  1. -1. -1. -1.  1.  1. -1.  1. -1.  1.
  1. -1. -1.  1.  1. -1.]"
0.9152543416691064,11,"[ 1.  1. -1. -1.  1.  1.  1. -1. -1.  1.  1. -1. -1.  1.  1. -1. -1. -1.
 -1. -1.  1.  1. -1. -1. -1.  1. -1.  1. -1.  1.  1. -1. -1.  1. -1. -1.
 -1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1. -1. -1.  1.  1.  1.
 -1.  1.  1. -1.  1. -1.]"
0.9587024074078462,18,"[-1.  1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1.  1. -1. -1.  1. -1.  1.
 -1.  1. -1.  1.  1. -1. -1.  1.  1. -1.  1.  1. -1.  1. -1. -1. -1.  1.
 -1. -1. -1. -1.  1.  1. -1.  1.  1. -1.  1.  1.  1.  1. -1.  1.  1. -1.
  1. -1. -1.  1. -1. -1.]"
0.057863897757707394,11,"[ 1.  1. -1. -1.  1.  1.  1. -1. -1.  1.  1. -1. -1.  1.  1. -1. -1. -1.
 -1. -1.  1.  1. -1. -1. -1.  1. -1.  1. -1.  1.  1. -1. -1.  1. -1. -1.
 -1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1. -1. -1.  1.  1.  1.
 -1.  1.  1. -1.  1. -1.]"
0.39452179860812986,-17,"[ 1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.
 -1.  1.  1.  1.  1. -1.  1. -1. -1.  1. -1.  1.  1. -1.  1. -1.  1.  1.
 -1. -1.  1. -1.  1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1.
 -1.  1. -1. -1. -1. -1.]"
