sample,snr,signal
0.21680910658649122,-12,"[-0.9782414  -0.13036011 -0.25722259 -0.97661117 -0.35201662  0.046453
 -0.22803262 -0.26265101 -0.63655908 -0.96549942  0.99849074  0.22118891
  0.1846361  -0.18503816  0.01135309 -0.12262645  0.99616625 -0.283677
  0.00760463 -0.06696674  0.60608183 -0.18209921 -0.12857904  0.99572646
  0.23517112  0.84593877 -0.94793895  0.2699541  -0.27173961 -0.21526362
  0.1292167   0.72880024 -0.04010851  0.26322428  0.15521803 -0.21610272
  0.24087583 -0.20572728 -0.26261693 -0.16046686  0.24711354  0.2883989
  0.2370488   0.21269412  0.26376755  0.05542795 -0.2138065   0.29580713
 -0.22697257 -0.96023076 -0.26310665 -0.8465423   0.99714738  0.20132815
 -0.99221493 -0.23852674 -0.25848244  0.09674343  0.76711524 -0.83726462]"
0.29449394683942987,20,"[-0.94019986  0.20172733  0.7634295  -0.12583336  0.18769895 -0.08450218
  0.2706411  -0.04119068 -0.17589394 -0.08560707  0.26417056 -0.1893191
 -0.09771602  0.26897679 -0.23154033 -0.0741475   0.21271307  0.23371071
 -0.45515621  0.91542166 -0.72760926  0.90991819 -0.05711217  0.98815371
 -0.99948152  0.6045974  -0.02708728 -0.2400097   0.90145116 -0.30714718
 -0.20025278 -0.04772887  0.54874324 -0.26928248 -0.27198598  0.17728131
 -0.25366671  0.5191644   0.2686666   0.86346827 -0.1543665  -0.26310797
 -0.12564101 -0.2716653  -0.20995065 -0.10255307  0.17175598 -0.22679646
 -0.25547398 -0.0675193   0.98949128 -0.60601733  0.99208704  0.36274594
 -0.97845666  0.6596896   0.23004744  0.13218499  0.42810478 -0.08682843]"
0.9958313750293707,14,"[-0.16893732 -0.14985011 -0.06526412 -0.14155529 -0.11690938 -0.71408326
 -0.24970365  0.3522342   0.2503269  -0.11998096 -0.23941777  0.05530144
  0.03752358  0.00773648  0.96340119 -0.14018612 -0.19469721  0.07416606
 -0.44852213 -0.29640509 -0.87180596  0.23998775  0.16335749  0.06478261
 -0.50643991 -0.2623459  -0.09052811  0.44220239 -0.99934744 -0.12856574
 -0.93952684  0.15027325 -0.26564834 -0.1760069   0.01322399 -0.03837917
  0.04595013 -0.92531639 -0.23449069  0.75597986  0.59503112  0.2958451
  0.633006   -0.80998523 -0.27210156 -0.72590789  0.03420895  0.0819712
 -0.19276189 -0.96788622  0.10863365  0.49160661  0.05784915 -0.12191865
 -0.09769916 -0.11168608 -0.65180763  0.19583038 -0.61447645 -0.22752492]"
0.6969250558638148,-2,"[ 0.02170495  0.02259689  0.27143613 -0.85527684  0.14553998  0.64429587
  0.04458166  0.98352013 -0.10090486 -0.85920673 -0.83161126 -0.22759066
 -0.37387559 -0.1721364  -0.15626705 -0.23988047 -0.84420897 -0.1562271
  0.43523065 -0.13276595 -0.17650754  0.26201446 -0.39392995 -0.00981752
 -0.14756237  0.06221859 -0.86424843 -0.20524208  0.55786475  0.09554088
 -0.99874534  0.76282304 -0.25280912 -0.3296073   0.17711985 -0.36036837
 -0.16304009  0.60315854  0.21739752 -0.48271349 -0.19531322 -0.69937414
 -0.19261494 -0.99590717  0.05882539  0.64246772 -0.22881865 -0.15431565
 -0.9777796  -0.21126576  0.26812911 -0.05705437 -0.00791983 -0.974816
  0.01304313  0.27187829 -0.99211161  0.22639027  0.07029442 -0.78137978]"
0.3842018313792199,-5,"[-0.26326363  0.99202131 -0.26661669 -0.16058233  0.2469472  -0.89249736
 -0.96894085  0.21752398 -0.23101046  0.16761761 -0.96396349 -0.94105169
 -0.28539581  0.14160396  0.06806551 -0.18952242 -0.94660953  0.16530854
 -0.43855619  0.72409559 -0.26517306  0.26072612  0.2193069  -0.62578205
  0.27016881  0.25954801  0.17651367 -0.98675379 -0.2600435   0.85726977
 -0.07450234  0.0119882  -0.81605031 -0.17777412  0.13377601  0.18270891
  0.20159756 -0.23108266 -0.96699306  0.55590741 -0.99581437 -0.96337378
  0.99734469 -0.12706694  0.14121057 -0.88963521 -0.15110881  0.22403849
 -0.3884865  -0.29618053  0.27189168 -0.80516646 -0.26862896  0.24545293
 -0.26692507  0.26219121  0.22176223 -0.05033091  0.83734952 -0.02205556]"
0.7371007058430192,-18,"[ 0.16656691  0.18566168  0.03991605 -0.17136717  0.98805963 -0.57016053
  0.27154023  0.07871021 -0.92029521 -0.19817225  0.05396938 -0.6651604
  0.24539447 -0.88859084  0.26897721 -0.91145251 -0.07790927 -0.95957943
  0.01140516  0.75497885  0.94292214  0.79081742  0.18341582 -0.09279216
  0.9291307   0.63416053 -0.22698833 -0.16277317  0.15956424 -0.14150752
 -0.90112876 -0.8254274  -0.99090997  0.24698357  0.86000784  0.26753685
 -0.9331562  -0.17422984  0.42716793 -0.22120832  0.01357187  0.96208807
  0.05383088 -0.69705586  0.24551237 -0.55278726 -0.69305463 -0.9658618
  0.08635557  0.30749915  0.42237374 -0.27170664 -0.0678444   0.14780721
  0.10766364 -0.04848473 -0.46355779  0.46669909  0.24896412  0.65179148]"
0.9152543416691064,-1,"[-0.66551224  0.99968018  0.88325989  0.14958417 -0.27137349  0.32315438
 -0.99874737 -0.05509165 -0.59913324 -0.14782546  0.20879917  0.23579099
  0.46242971  0.56267281  0.75031502  0.82371449  0.19982352  0.57072979
  0.43190347  0.988056   -0.09383518 -0.85572312  0.25456114  0.27096086
  0.0768015   0.61945856 -0.14552019  0.24370962 -0.23151971  0.99406303
  0.01566375  0.18370604  0.22218908  0.48432719  0.5601574   0.25805109
 -0.27088424 -0.22313678  0.23971054 -0.40801018  0.24655818  0.29212049
 -0.24727798  0.02803369  0.02958157  0.32416028  0.81150413 -0.27114219
  0.0698496  -0.9641576  -0.86990877  0.26735684 -0.65771414 -0.06742769
 -0.66059969 -0.88683691 -0.04084354  0.26820172 -0.26628922  0.1777638 ]"
0.9587024074078462,3,"[ 0.2721253   0.99712365  0.19760409  0.61440892 -0.84999996  0.17371133
 -0.98875722 -0.19045099  0.24010615 -0.60584515  0.26983474  0.09614643
 -0.05027375 -0.20161694 -0.21400986 -0.04343564  0.27150495 -0.21115412
  0.00190138  0.89529009  0.23780042 -0.07357627  0.99720838  0.66947386
 -0.20658105 -0.2557292  -0.59463057  0.17584769 -0.97067845  0.94725831
  0.04906401  0.77918265 -0.01408555 -0.08689948 -0.19853101  0.9903881
 -0.86783308 -0.94488124  0.13392416 -0.04262764  0.20806684  0.21158856
 -0.21655029  0.09071017 -0.08739646  0.17236853 -0.08085139 -0.85908998
  0.16795493 -0.70212157 -0.1346639   0.54959066  0.27140297 -0.23968555
  0.27177455 -0.21538713 -0.10829921  0.92270143 -0.52300189  0.7510286 ]"
0.057863897757707394,12,"[ 0.9782414   0.13036011  0.25722259  0.97661117  0.35201662 -0.046453
  0.22803262  0.26265101  0.63655908  0.96549942 -0.99849074 -0.22118891
 -0.1846361   0.18503816 -0.01135309  0.12262645 -0.99616625  0.283677
 -0.00760463  0.06696674 -0.60608183  0.18209921  0.12857904 -0.99572646
 -0.23517112 -0.84593877  0.94793895 -0.2699541   0.27173961  0.21526362
 -0.1292167  -0.72880024  0.04010851 -0.26322428 -0.15521803  0.21610272
 -0.24087583  0.20572728  0.26261693  0.16046686 -0.24711354 -0.2883989
 -0.2370488  -0.21269412 -0.26376755 -0.05542795  0.2138065  -0.29580713
  0.22697257  0.96023076  0.26310665  0.8465423  -0.99714738 -0.20132815
  0.99221493  0.23852674  0.25848244 -0.09674343 -0.76711524  0.83726462]"
0.39452179860812986,3,"[ 0.2721253   0.99712365  0.19760409  0.61440892 -0.84999996  0.17371133
 -0.98875722 -0.19045099  0.24010615 -0.60584515  0.26983474  0.09614643
 -0.05027375 -0.20161694 -0.21400986 -0.04343564  0.27150495 -0.21115412
  0.00190138  0.89529009  0.23780042 -0.07357627  0.99720838  0.66947386
 -0.20658105 -0.2557292  -0.59463057  0.17584769 -0.97067845  0.94725831
  0.04906401  0.77918265 -0.01408555 -0.08689948 -0.19853101  0.9903881
 -0.86783308 -0.94488124  0.13392416 -0.04262764  0.20806684  0.21158856
 -0.21655029  0.09071017 -0.08739646  0.17236853 -0.08085139 -0.85908998
  0.16795493 -0.70212157 -0.1346639   0.54959066  0.27140297 -0.23968555
  0.27177455 -0.21538713 -0.10829921  0.92270143 -0.52300189  0.7510286 ]"
